lemma	translation	rel	p-value
نَفس	same,self	attr	4.93E-146
نَظِير	counterpart,opposite_number,colleague,peer	attr	1.17E-47
قَول	statement,remark,reports	attr	3.17E-36
بَلَد	country	attr	1.21E-25
وَحد	self,by_oneself,alone,only	attr	3.88E-21
وَالِد	father,parent,father_and_mother	attr	6.26E-20
ذَات	self,being,essence	attr	3.49E-19
قِيمَة	value,worth,amount,quantity	attr	1.03E-14
زَمِيل	colleague,associate,companion	attr	7.36E-13
أَمَل	hope,wish	attr	1.75E-11
غَير	other,unlike,not,non_-	attr	2.92E-11
عُمر	age,life,age_group	attr	3.85E-10
رَأس	head,top,tip,cape	attr	6.5E-10
اِلتِزَام	commitment,obligation	attr	1.71E-09
شَأن	matter,affair,concern,regard	attr	2.2E-09
زَوجَة	wife,spouse	attr	2.56E-09
مَنصِب	post,position,office	attr	4.06E-09
كَون	being,events	attr	5.2E-09
رَغبَة	desire,wish	attr	6.75E-09
قَدر	extent,degree,amount,value,level	attr	2.7E-08
مَصرَع	death,fatality	attr	3.87E-08
لِقَاء	meeting,encounter,interview	attr	9.56E-08
اِعتِبَار	consideration,regard	attr	1.49E-07
مَتن	deck,board,surface	attr	2.93E-07
حَقّ	truth,right,law	attr	3.73E-07
جَانِب	side,aspect	attr	3.76E-07
اِبنَة	daughter	attr	4.21E-07
مُفَاد	meaning,content	attr	4.21E-07
مَهَمَّة	task,assignment,mission	attr	5.08E-07
صَدِيق	friend	attr	5.45E-07
مَوقِف	position	attr	5.51E-07
اِسم	name	attr	8.13E-07
اِستِقَالَة	resignation,retirement	attr	1.53E-06
رَأي	opinion,view,idea	attr	1.62E-06
حَوزَة	possession,territory	attr	1.63E-06
صَادِر	export	attr	1.73E-06
اِبن	son,child	attr	2.11E-06
تَعزِيَة	condolence,mourning	attr	2.41E-06
مُقَدَّم	front_part	attr	2.41E-06
قُدرَة	capacity,ability,potential,power	attr	2.96E-06
يَد	hand	attr	3.86E-06
تَوَاجُد	presence	attr	5.21E-06
عَين	ain_(_Arabic_letter_)	attr	6.49E-06
هُوِيَّة	identity,identity_card	attr	6.49E-06
طَرح	suggestion,proposal	attr	8.61E-06
تَخصِيص	designation,allocation,apportionment	attr	1.1E-05
كَلِمَة	word,remark,speech	attr	1.4E-05
تَنفِيذ	implementation,execution,carrying_out	attr	1.67E-05
رَفِيق	companion,partner,comrade	attr	2.06E-05
اِحتِيَاج	need,requirement	attr	2.7E-05
مُغَادَرَة	departure	attr	2.77E-05
جَولَة	tour,patrol,round	attr	3.43E-05
نَوع	type,kind,form	attr	3.78E-05
خَلِيفَة	deputy,caliph	attr	3.8E-05
دَهشَة	surprise,alarm	attr	3.8E-05
مُحَاصَرَة	blockade,encirclement	attr	3.8E-05
نَفي	denial,disavowal	attr	3.8E-05
وُسع	capability,capacity	attr	3.8E-05
نُفُوذ	influence,effect	attr	4.63E-05
مَوقِع	position,location,site	attr	5.24E-05
رَفض	rejection,refusal	attr	5.4E-05
إِنتَاج	production,output	attr	8.12E-05
صَفحَة	page,leaf	attr	8.47E-05
مُقتَضَى	requirement,exigency	attr	8.47E-05
بَيع	sale	attr	9.72E-05
دَور	role,part	attr	0.000111
نَشَاط	activity,active	attr	0.000143
اِستِيَاء	dissatisfaction,displeasure	attr	0.00015
تَوَلِّي	taking_charge_of,assuming_responsibility	attr	0.00015
رُمَّة	entire,complete	attr	0.00015
زِنزَانَة	prison_cell	attr	0.00015
فَوز	victory	attr	0.000164
مُوَاطِن	citizen	attr	0.000197
مَسؤُولِيَّة	responsibility	attr	0.0003
مَصِير	path,destiny,fate	attr	0.000332
أَقرَب	relatives,extended_family	attr	0.000378
مِلكِيَّة	property,ownership	attr	0.000378
مَنزِل	house,residence	attr	0.000433
تَأيِيد	support,approval,assistance	attr	0.000467
مُمتَلَكَات	property,possessions,dependencies	attr	0.000467
إِلغَاء	cancellation,abrogation,repeal	attr	0.000516
سِيَادَة	sovereignty,supremacy,Excellency	attr	0.000521
قَلَق	unrest,concern,apprehension	attr	0.000562
غَالِبِيَّة	majority	attr	0.000606
وُصُول	arrival,achievement	attr	0.000669
جِهَة	side,part,direction,sectors,offices,institutions,officials,individuals	attr	0.000745
تَمكِين	enabling,making_possible,strengthening	attr	0.000806
وَظِيفَة	job,position,function	attr	0.000806
تَعرِيف	identification,notification	attr	0.000807
مَسِيرَة	operation,activities,functioning	attr	0.000807
عَلَاقَة	connection,relation,link,ties,contacts,straps,cords	attr	0.000898
مَقَرّ	center,headquarters,residence	attr	0.000988
تَحوِيل	conversion,transfer	attr	0.00101
رَصِيد	funds,stock,inventory	attr	0.00112
وَاجِب	duty,obligation,requirement	attr	0.00112
تَرحِيب	welcoming,greeting	attr	0.00129
مُحَاكَمَة	judicial_proceeding,legal_prosecution	attr	0.00129
إِدَانَة	condemnation,censure	attr	0.00138
إِمبِرَاطُورِيَّة	empire	attr	0.00138
تَوعِيَة	making_aware,enlightening	attr	0.00138
اِستِخدَام	usage,using,utilization	attr	0.0015
بَعض	some,several	attr	0.00173
تَعَهُّد	responsibility,commitment,obligation	attr	0.00194
تَعَرُّض	being_exposed_to,encountering	attr	0.00201
اِتِّهَام	accusation,charge,indictment	attr	0.00214
صَاحِب	owner,originator	attr	0.00232
رِبح	profit,interest,dividends,revenues	attr	0.00251
قَلب	heart,center,essence	attr	0.00251
رَأسمَال	capital	attr	0.00261
اِعتِقَاد	belief,conviction	attr	0.00265
تَطَلُّع	endeavor,aspiration,hope	attr	0.00265
تَنَاوُل	dealing_with,eating	attr	0.00265
فَتوَى	fatwa,legal_opinion	attr	0.00265
نَشرَة	report,announcement,proclamation	attr	0.00265
دُخُول	entrance,penetration	attr	0.00271
أَهل	family,people,folk,indigenous_people	attr	0.00278
مُقَدِّمَة	preface,introduction,front_part	attr	0.00278
أَسر	capture,captivity	attr	0.00282
اِستِطَاعَة	capability,possibility	attr	0.00282
اِقتِطَاع	deduction	attr	0.00282
بَشَرَة	epidermis	attr	0.00282
تَصَفُّح	examination,perusal	attr	0.00282
جَسَد	body	attr	0.00282
حَتف	death	attr	0.00282
حُمُولَة	tonnage,load_capacity	attr	0.00282
