expression	rel	p-value (log[10])
وَزِير خَارِجِيَّة	attr	205.544456931851
وِكَالَة نَبَأ	attr	138.327514383802
رَئِيس وَزِير	attr	134.955086158265
رَجُل عَمَل	attr	115.969084633669
شَيخ أَزهَر	attr	88.5101896337453
سِعر فَائِدَة	attr	87.8214247709878
سِعر صَرف	attr	73.1106069157323
وِجهَة نَظَر	attr	71.6122934017633
رَئِيس مَجلِس	attr	68.6870336204756
مَجلِس إِدَارَة	attr	68.4844150967058
نَائِب رَئِيس	attr	65.3935544018362
حَدِيد تَسلِيح	attr	62.9621449154263
شَهر رَمَضَان	attr	62.2047857742597
مَجلِس أَمن	attr	58.8876617936875
رَأس مَال	attr	58.8262370924991
خَرِيطَة طَرِيق	attr	58.6110295582934
يَوم جُمعَة	attr	55.3078207284356
مَشرُوع قَرَار	attr	55.0946321265107
إِطلَاق نَار	attr	53.6725330631209
ظُهر يَوم	attr	49.5048308786521
اِرتِفَاع سِعر	attr	48.2174674135759
مَسَاء يَوم	attr	46.4189565383724
صُندُوق نَقد	attr	45.8863940309298
رَدّ فِعل	attr	45.0046855845823
إِعلَان دَولَة	attr	43.5552411455525
وَزِير دِفَاع	attr	43.0159344658532
طَاقِم غَوَّاصَة	attr	42.9270934949484
كُرَة قَدَم	attr	42.7597690682921
صَبَاح يَوم	attr	41.7601720901275
وَلِيّ عَهد	attr	40.7394301208325
عُضو مَجلِس	attr	40.1007808938713
وِزَارَة خَارِجِيَّة	attr	39.924130323163
اِتِّخَاذ إِجرَاء	attr	38.3701701955077
وَسِيلَة إِعلَام	attr	37.4182739749344
قِطعَة غِيَار	attr	35.8559276722237
حِزب اَللّٰه	attr	35.7590929697511
مِنطَقَة شَرق	attr	35.6259013507161
يَوم أَربِعَاء	attr	35.3289246498514
قَنَاة سُوَيس	attr	34.5808895613665
نَفس فَترَة	attr	33.8692332517628
خَارِطَة طَرِيق	attr	31.9716909137991
نِهَائِيّ كَأس	attr	31.3539019175473
طَلَب إِحَاطَة	attr	30.2719217654327
سِعر دُولَار	attr	29.6373490932487
إِعَادَة إِعمَار	attr	29.4415514261226
اِتِّحَاد صِنَاعَة	attr	29.288839978589
بَرنَامَج تَخصِيص	attr	28.9975216688169
عَمَلِيَّة سَلَام	attr	28.5967032953637
سِلَاح دَمَار	attr	28.5888649671041
غَسِيل مَال	attr	28.5793243202728
يَوم خَمِيس	attr	28.5654883743968
وَزِير تِجَارَة	attr	28.5368359078535
قُوَّة اِحتِلَال	attr	27.5672600934441
مَجلِس وَزِير	attr	27.4152002657616
قِطَاع غَزَّة	attr	27.3386065308242
مَشرُوع قَانُون	attr	27.145501519983
حَقّ إِنسَان	attr	27.1449564787853
دَولَة اِتِّحَاد	attr	26.5106694870339
سِعر حَدِيد	attr	26.4807775208128
مَجلِس شَعب	attr	26.4500295885538
شَاهِد عِيَان	attr	26.2689385070238
فَرد طَاقِم	attr	26.2194182357883
مَادَّة بِنَاء	attr	26.0014216357566
فِرقَة إِنقَاذ	attr	25.7732516204354
شَرِكَة مُقَاوَلَة	attr	24.9718442836984
مُكَافَحَة إِرهَاب	attr	24.8811419313817
سِيَاحَة يَخت	attr	24.5837223219546
رَسم إِغرَاق	attr	24.2344541759611
حَجم تَبَادُل	attr	24.2324998977656
عَقد اِجتِمَاع	attr	23.8193958337316
مُنَظَّمَة تِجَارَة	attr	23.7741453365795
رَفع سِعر	attr	23.6416522777738
إِذن خِزَانَة	attr	23.2867268964699
خَلِيج سُوَيس	attr	22.8268969204318
مَسَاء اِثنَان	attr	22.492680270035
نِهَايَة عَام	attr	22.4599023449739
تَنفِيذ مَشرُوع	attr	22.0557952316816
مُكَافَحَة غَسِيل	attr	22.0113225796763
قُوَّة أَمن	attr	21.9643433516761
تَوجِيه ضَربَة	attr	21.9607994001108
قُطعَة أَرض	attr	21.6671591194024
رَفع عُقُوبَة	attr	21.388913200891
بَحر قَزوِين	attr	21.385322490668
غُرُوب شَمس	attr	21.385322490668
تَبيِيض مَال	attr	21.3600353772567
فَشَل قِمَّة	attr	21.3446624144753
جَنُوب لُبنَان	attr	21.2419720135582
وَالِدَة رَهِينَة	attr	21.2128311896117
تَقرِير مَصِير	attr	21.2034334839211
مِنطَقَة تِجَارَة	attr	21.1356165731105
زِيَادَة حَجم	attr	21.0495388783525
ذِكر اِسم	attr	21.0371020621589
يَوم سَبت	attr	20.7528042874408
شِبه جَزِيرَة	attr	20.6637599384405
إِعمَار عِرَاق	attr	20.6626136129565
اِنخِفَاض سِعر	attr	20.5214116316469
مُحَافِظ بَنك	attr	20.4522617021878
سُوق صَرف	attr	20.4311260265271
هَيئَة تَدرِيس	attr	20.2393759001318
حِزب عَامِل	attr	20.1114421783266
سُوق عَقَار	attr	19.9382325189688
