lemma	rel	p-value
סוף	attr	6.05E-09
פעילות	attr	8.94E-09
מגוון	attr	7.21E-07
אמא	attr	2.44E-06
מידה	attr	1.4E-05
גרעין	attr	1.45E-05
צוות	attr	2.97E-05
קנקן	attr	4.2E-05
קריירה	attr	4.2E-05
שורה	attr	6.23E-05
אינטרס	attr	0.000121
עתיד	attr	0.000149
מקרה	attr	0.000172
חשבון	attr	0.000197
בוא	attr	0.000263
מהות	attr	0.000279
משמעת	attr	0.000279
קלע	attr	0.000279
שמץ	attr	0.000279
חבורה	attr	0.000319
כמות	attr	0.000319
שילוב	attr	0.000319
תחושה	attr	0.000364
דשא	attr	0.000677
מובן	attr	0.000677
מספר	attr	0.000871
בחירות	attr	0.00108
מרקחת	attr	0.00113
עיצום	attr	0.00131
פרוסה	attr	0.00131
תערובת	attr	0.00131
תרומה	attr	0.00145
חסד	attr	0.00173
טחינה	attr	0.00173
מלאי	attr	0.00173
אלמנט	attr	0.00222
תעמולה	attr	0.00222
מצב	attr	0.00256
מוות	attr	0.00267
פנייה	attr	0.00283
תכונה	attr	0.00283
רשימה	attr	0.0033
אוסף	attr	0.00345
דפוס	attr	0.00345
הזמנה	attr	0.00345
היבט	attr	0.00345
ערך	attr	0.00462
עמדה	attr	0.00467
מונח	attr	0.00501
מכר	attr	0.00501
התארגנות	attr	0.00506
התמוטטות	attr	0.00506
סלט	attr	0.00506
עיתוי	attr	0.00506
ערימה	attr	0.00506
פיסה	attr	0.00506
תודעה	attr	0.00506
רומן	attr	0.00574
שלב	attr	0.00666
התלהבות	attr	0.00694
תפקוד	attr	0.00694
יכולת	attr	0.00751
אגף	attr	0.00851
ניהול	attr	0.00982
אובססיה	attr	0.00983
התערבות	attr	0.00983
טכניקה	attr	0.00983
מזכירה	attr	0.00983
מעוז	attr	0.00983
קטגוריה	attr	0.00983
שריד	attr	0.00983
תלאה	attr	0.00983
דרגה	attr	0.012
כניסה	attr	0.012
תהליך	attr	0.012
אישיות	attr	0.012
מבחן	attr	0.012
סיבוב	attr	0.012
תשתית	attr	0.012
לב	attr	0.0129
אספה	attr	0.0159
אתגר	attr	0.0159
בעלים	attr	0.0159
היעדר	attr	0.0159
מדען	attr	0.0159
צל	attr	0.0159
קסם	attr	0.0159
תאריך	attr	0.0159
תצוגה	attr	0.0159
דעת	attr	0.0186
תופעה	attr	0.0188
מטה	attr	0.0221
ביניים	attr	0.0233
הערה	attr	0.0233
חרדה	attr	0.0233
סולם	attr	0.0233
עמידות	attr	0.0233
אווירה	attr	0.0269
רכישה	attr	0.0269
בעיה	attr	0.0271
תקופה	attr	0.0301
תגובה	attr	0.0311
ידע	attr	0.0317
מעטה	attr	0.0317
מפה	attr	0.0317
פשרה	attr	0.0317
תפעול	attr	0.0317
יעד	attr	0.0369
הרחבה	attr	0.0411
כרך	attr	0.0411
מוח	attr	0.0411
מחדל	attr	0.0411
מנגנון	attr	0.0411
מעורבות	attr	0.0411
סנגור	attr	0.0411
עיון	attr	0.0411
ציפייה	attr	0.0411
רכז	attr	0.0411
שול	attr	0.0411
יסוד	attr	0.0425
גישה	attr	0.0484
משקל	attr	0.0484
תיאום	attr	0.0484
תוכנית	attr	0.0512
