lemma	rel	p-value
"יו""ר"	attr	3.71E-42
"מנכ""ל"	attr	5.36E-30
משרד	attr	3.11E-23
ראש	attr	1.78E-20
בעל	attr	3.86E-18
שר	attr	5.7E-16
פה	attr	1.81E-12
חוסר	attr	3.6E-08
מערכת	attr	6.54E-07
יד	attr	9.95E-07
סוף	attr	1.93E-06
הקמה	attr	3.14E-06
בית	attr	4.54E-06
סגן	attr	7.86E-06
שיתוף	attr	1.14E-05
ועדה	attr	1.65E-05
מרכז	attr	4.9E-05
"מזכ""ל"	attr	5.27E-05
תחום	attr	6.38E-05
תל	attr	0.000137
"מ""ם"	attr	0.000272
מנהל	attr	0.000396
מחיר	attr	0.000406
נציג	attr	0.000439
תום	attr	0.000695
מזכיר	attr	0.00096
העלאה	attr	0.00114
זכות	attr	0.00134
קביעה	attr	0.00141
עזרה	attr	0.00173
משמר	attr	0.0019
רואה	attr	0.0019
שיעור	attr	0.00214
אמצע	attr	0.00218
תחילה	attr	0.00218
קבלה	attr	0.00276
מפקד	attr	0.00284
ענף	attr	0.0032
הנהלה	attr	0.00364
בן	attr	0.0037
מסירה	attr	0.00428
הר	attr	0.00438
לשכה	attr	0.0044
מדע	attr	0.00482
מקבל	attr	0.00532
רעול	attr	0.00532
ביצוע	attr	0.00549
פיקוד	attr	0.00555
מתן	attr	0.00626
רקע	attr	0.00717
"דו""ח"	attr	0.00726
נעל	attr	0.00773
כתב	attr	0.00812
גזר	attr	0.00895
עיירה	attr	0.00912
מעשה	attr	0.01
כושר	attr	0.0103
רחב	attr	0.0111
איכות	attr	0.0119
מכשיר	attr	0.0134
מחנה	attr	0.0137
עורך	attr	0.014
עשב	attr	0.0152
תאונה	attr	0.0152
עצם	attr	0.0157
הגשה	attr	0.0166
מכון	attr	0.0168
שדה	attr	0.0175
ראשית	attr	0.0185
ראשות	attr	0.0193
כוח	attr	0.0198
כלי	attr	0.0204
תשלום	attr	0.0213
אספקה	attr	0.0225
שיפור	attr	0.0225
תיק	attr	0.0242
הפעלה	attr	0.0252
טובה	attr	0.0252
טיב	attr	0.0252
השגה	attr	0.0258
חוף	attr	0.0258
חיל	attr	0.0258
דף	attr	0.0288
חילוק	attr	0.0288
מכסה	attr	0.0288
צורך	attr	0.029
אגף	attr	0.0369
צוות	attr	0.0373
"מפכ""ל"	attr	0.0375
חילוף	attr	0.038
מטפחת	attr	0.038
תנור	attr	0.038
ניהול	attr	0.0402
תחנה	attr	0.0442
הגדלה	attr	0.0445
השלמה	attr	0.0445
מתקן	attr	0.0445
עוזר	attr	0.047
פרקליט	attr	0.047
מסע	attr	0.0481
דרגה	attr	0.0486
אגתנור	attr	0.0506
איגרת	attr	0.0506
הטלה	attr	0.0506
הענקה	attr	0.0506
יושב	attr	0.0506
מסוף	attr	0.0506
מסיבה	attr	0.0506
מועצה	attr	0.0507
חסות	attr	0.0532
ועד	attr	0.0536
אולם	attr	0.0559
אישור	attr	0.0562
הפקה	attr	0.0562
קטע	attr	0.0562
תוספת	attr	0.0583
עריכה	attr	0.0644
החלפה	attr	0.0646
מלוא	attr	0.0646
סוכן	attr	0.0679
סקר	attr	0.0679
עידוד	attr	0.0679
רמה	attr	0.0741
גובה	attr	0.0749
חבר	attr	0.0774
העסקה	attr	0.0775
מזג	attr	0.0775
משטח	attr	0.0775
שביעות	attr	0.0775
שריקה	attr	0.0775
העברה	attr	0.0885
החזרה	attr	0.0912
הפלה	attr	0.0912
הפרה	attr	0.0912
השמדה	attr	0.0912
חווה	attr	0.0912
חולי	attr	0.0912
טוהר	attr	0.0912
טירה	attr	0.0912
מקרא	attr	0.0912
מרוצה	attr	0.0912
ניכוי	attr	0.0912
עני	attr	0.0912
פרץ	attr	0.0912
רעידה	attr	0.0912
שוחר	attr	0.0912
תזמורת	attr	0.0912
תפוח	attr	0.0912
תשדיר	attr	0.0912
סימן	attr	0.0948
אזור	attr	0.103
כינוס	attr	0.103
ליקוי	attr	0.103
קרב	attr	0.107
רוטב	attr	0.107
מאזן	attr	0.11
מסך	attr	0.11
נגיד	attr	0.11
נטל	attr	0.11
ניתוק	attr	0.11
פרקליטות	attr	0.11
תהליך	attr	0.113
חוזה	attr	0.115
רכישה	attr	0.115
חץ	attr	0.116
שכר	attr	0.119
בקבוק	attr	0.119
חופש	attr	0.119
יישום	attr	0.119
כרטיס	attr	0.119
פרשה	attr	0.123
חידוש	attr	0.126
פסק	attr	0.126
משחק	attr	0.134
רשות	attr	0.134
פקיד	attr	0.135
אובדן	attr	0.137
בריכה	attr	0.137
גיוס	attr	0.137
הכשרה	attr	0.137
חדירה	attr	0.137
חוליית	attr	0.137
חלקה	attr	0.137
מדליה	attr	0.137
מורשת	attr	0.137
מיטב	attr	0.137
צפירה	attr	0.137
קצבה	attr	0.137
רוע	attr	0.137
רימון	attr	0.137
שדולה	attr	0.137
הליך	attr	0.139
סדר	attr	0.141
הפסקה	attr	0.141
חדר	attr	0.149
אפוד	attr	0.149
גיליון	attr	0.149
הרחבה	attr	0.149
חלוקה	attr	0.149
מוקד	attr	0.149
פיטורין	attr	0.149
ציון	attr	0.149
תשומה	attr	0.149
סיום	attr	0.154
גבייה	attr	0.162
קו	attr	0.162
בניין	attr	0.163
טענה	attr	0.165
העדר	attr	0.166
חתן	attr	0.166
כלה	attr	0.166
לוחם	attr	0.166
מכונה	attr	0.166
מניעה	attr	0.166
תיקון	attr	0.166
יצירה	attr	0.169
איסוף	attr	0.171
גבה	attr	0.171
גינון	attr	0.171
הגברה	attr	0.171
החכרה	attr	0.171
הלך	attr	0.171
המחשה	attr	0.171
הנפקה	attr	0.171
הפצצה	attr	0.171
הקטנה	attr	0.171
זריקה	attr	0.171
חוקיות	attr	0.171
חיסול	attr	0.171
כוהן	attr	0.171
כיבוי	attr	0.171
כינון	attr	0.171
מוט	attr	0.171
מזבח	attr	0.171
מיסוד	attr	0.171
ממציא	attr	0.171
מעמקים	attr	0.171
מפעיל	attr	0.171
מצבה	attr	0.171
נבך	attr	0.171
ניידת	attr	0.171
נשף	attr	0.171
נתיב	attr	0.171
סיכה	attr	0.171
סרסור	attr	0.171
עול	attr	0.171
עלוב	attr	0.171
פירוט	attr	0.171
פירעון	attr	0.171
פליטה	attr	0.171
פסולת	attr	0.171
קותל	attr	0.171
רועה	attr	0.171
שטיפה	attr	0.171
שפיכות	attr	0.171
תמצית	attr	0.171
משרה	attr	0.172
גל	attr	0.174
עיקר	attr	0.187
עסקה	attr	0.187
חסר	attr	0.188
יין	attr	0.188
נוסח	attr	0.188
סך	attr	0.189
אורך	attr	0.189
הכרזה	attr	0.189
חפץ	attr	0.189
יתרה	attr	0.189
כדורסלן	attr	0.189
מזכירות	attr	0.189
שידור	attr	0.189
תפוקה	attr	0.189
סכום	attr	0.193
כפר	attr	0.193
רשימה	attr	0.196
כיוון	attr	0.215
כישלון	attr	0.215
מטבע	attr	0.215
נהג	attr	0.215
מחלקה	attr	0.235
הנהגה	attr	0.238
שמירה	attr	0.238
מעצמה	attr	0.241
רישיון	attr	0.241
תשורה	attr	0.241
חברה	attr	0.246
חנות	attr	0.246
סוג	attr	0.248
אחרית	attr	0.25
איחוי	attr	0.25
אכיפה	attr	0.25
אפליה	attr	0.25
בוגר	attr	0.25
דייר	attr	0.25
דיכוי	attr	0.25
הבראה	attr	0.25
המולה	attr	0.25
זמר	attr	0.25
חותמת	attr	0.25
חקר	attr	0.25
כתם	attr	0.25
לוויין	attr	0.25
מדבקה	attr	0.25
מוצאי	attr	0.25
מעצב	attr	0.25
מרפסת	attr	0.25
נחיתה	attr	0.25
סוגר	attr	0.25
סמך	attr	0.25
סף	attr	0.25
ספירה	attr	0.25
עדכון	attr	0.25
עלה	attr	0.25
פינוי	attr	0.25
צאצא	attr	0.25
צינור	attr	0.25
קומץ	attr	0.25
קיצור	attr	0.25
שלל	attr	0.25
שמורה	attr	0.25
תו	attr	0.25
הצעה	attr	0.253
צו	attr	0.254
סוכנות	attr	0.259
קצין	attr	0.259
אוסף	attr	0.264
ביטול	attr	0.264
מנגנון	attr	0.264
סגירה	attr	0.264
דובר	attr	0.28
זיכרון	attr	0.281
גוש	attr	0.294
הורדה	attr	0.294
חבורה	attr	0.294
חלון	attr	0.294
כמות	attr	0.294
מימוש	attr	0.294
אוהד	attr	0.297
דרישה	attr	0.302
בסיס	attr	0.313
ציר	attr	0.323
בעלות	attr	0.329
עיצוב	attr	0.329
שוויון	attr	0.329
אגוז	attr	0.329
גיבוש	attr	0.329
גילוי	attr	0.329
דוכן	attr	0.329
הצבה	attr	0.329
חשיפה	attr	0.329
ייעול	attr	0.329
יעילות	attr	0.329
כיסוי	attr	0.329
מורד	attr	0.329
מזגן	attr	0.329
מעוז	attr	0.329
מפגש	attr	0.329
משלוח	attr	0.329
ניצול	attr	0.329
סבב	attr	0.329
עסקן	attr	0.329
עתודה	attr	0.329
צעדה	attr	0.329
קליפה	attr	0.329
קרבה	attr	0.329
שיפוץ	attr	0.329
תעודה	attr	0.329
תקנון	attr	0.329
ערב	attr	0.341
תולדה	attr	0.351
יחסים	attr	0.364
עת	attr	0.366
אתר	attr	0.375
ארגון	attr	0.376
היקף	attr	0.378
סעיף	attr	0.378
עונש	attr	0.378
