lemma	rel	p-value
שם	attr	5.38E-16
תפקיד	attr	1.1E-11
פנים	attr	1.8E-10
יד	attr	8.45E-10
מוות	attr	1.34E-09
בוא	attr	4.34E-08
ידיד	attr	7.14E-08
כוונה	attr	9.11E-08
חבר	attr	2.95E-07
חיים	attr	7.4E-07
רצון	attr	1.56E-06
רגל	attr	1.64E-06
סוף	attr	2.13E-06
התנהגות	attr	2.49E-06
אישיות	attr	3.21E-06
דעה	attr	3.87E-06
יריב	attr	4.84E-06
עין	attr	7.12E-06
יהדות	attr	8.29E-06
דבר	attr	1.06E-05
יכולת	attr	1.14E-05
חניך	attr	1.19E-05
חלק	attr	1.82E-05
מעמד	attr	1.84E-05
מושב	attr	3.57E-05
סיפור	attr	4.77E-05
עיצום	attr	5.24E-05
אח	attr	5.92E-05
אב	attr	7.81E-05
לב	attr	0.000116
אופי	attr	0.000127
דרך	attr	0.000141
עמית	attr	0.000233
פצע	attr	0.000404
מקורב	attr	0.000654
דירה	attr	0.000762
כישורים	attr	0.00101
דומי	attr	0.00105
מינוי	attr	0.00108
פה	attr	0.00122
חסיד	attr	0.00139
מועמדות	attr	0.00179
רעייה	attr	0.00179
תרומה	attr	0.00182
פנייה	attr	0.00184
טענה	attr	0.00191
גורל	attr	0.0021
עתיד	attr	0.00238
קול	attr	0.00238
עיקר	attr	0.00239
פירוש	attr	0.00283
נאמנות	attr	0.00289
שחרור	attr	0.00289
צד	attr	0.0029
דמות	attr	0.00315
ספר	attr	0.00318
בחירה	attr	0.00338
מצב	attr	0.00366
גיבור	attr	0.00385
הסכמה	attr	0.00388
התייחסות	attr	0.00422
פרישה	attr	0.00422
משפחה	attr	0.0043
ילדות	attr	0.00488
סירוב	attr	0.00488
זרוע	attr	0.00508
נפש	attr	0.00589
מיטה	attr	0.00601
פציעה	attr	0.00601
פעילות	attr	0.00631
מאמר	attr	0.00716
הולדת	attr	0.00812
השלכה	attr	0.00812
זיקה	attr	0.00812
חזות	attr	0.00812
יריבה	attr	0.00812
מיקום	attr	0.00812
עט	attr	0.00812
קודם	attr	0.00812
רוב	attr	0.00824
קיום	attr	0.00861
התנגדות	attr	0.0102
זכות	attr	0.0106
הבטחה	attr	0.0109
זכר	attr	0.0109
שכן	attr	0.0109
שיא	attr	0.0121
יצירה	attr	0.0123
בעלים	attr	0.0124
היעדר	attr	0.0124
העמדה	attr	0.0124
זכייה	attr	0.0124
כיס	attr	0.0124
פרנסה	attr	0.0124
ראש	attr	0.0125
תומך	attr	0.0125
מלוא	attr	0.0141
נסיעה	attr	0.0142
מעצר	attr	0.0152
בחינה	attr	0.0174
שיקום	attr	0.0176
תסכול	attr	0.0176
משכורת	attr	0.0179
קבר	attr	0.0179
תורה	attr	0.0179
טיב	attr	0.0222
ברך	attr	0.0237
הישרדות	attr	0.0237
הצטיידות	attr	0.0237
חותם	attr	0.0237
חזון	attr	0.0237
יורש	attr	0.0237
מלכות	attr	0.0237
סבה	attr	0.0237
עקבה	attr	0.0237
פסיקה	attr	0.0237
צאת	attr	0.0237
קבורה	attr	0.0237
שובו	attr	0.0237
אוזן	attr	0.024
תגובה	attr	0.0251
בן	attr	0.0271
יציאה	attr	0.0271
ארון	attr	0.0293
כניסה	attr	0.0293
גב	attr	0.0326
גודל	attr	0.0326
חלום	attr	0.0326
תכונה	attr	0.0326
אהוב	attr	0.0378
גופה	attr	0.0378
גלגול	attr	0.0378
הליכה	attr	0.0378
הפניה	attr	0.0378
התמקדות	attr	0.0378
חברות	attr	0.0378
חסרון	attr	0.0378
מור	attr	0.0378
מחיה	attr	0.0378
מען	attr	0.0378
סבל	attr	0.0378
עזיבה	attr	0.0378
קריסה	attr	0.0378
תודעה	attr	0.0378
תכלית	attr	0.0378
כתיבה	attr	0.0387
חוויה	attr	0.0399
מזל	attr	0.0399
מימוש	attr	0.0399
מטרה	attr	0.04
מסע	attr	0.04
חובה	attr	0.0454
מצוקה	attr	0.0454
ערך	attr	0.0454
תמורה	attr	0.0454
רשות	attr	0.0473
מסגרת	attr	0.0485
בעלות	attr	0.0494
התפתחות	attr	0.0494
מגורים	attr	0.0494
ממצא	attr	0.0494
נכונות	attr	0.0494
תפקוד	attr	0.0494
טעם	attr	0.0498
דם	attr	0.05
הצלחה	attr	0.05
עוצמה	attr	0.0527
מקום	attr	0.0533
אמה	attr	0.0542
גיבוש	attr	0.0542
הצבה	attr	0.0542
לעג	attr	0.0542
מהות	attr	0.0542
עתודה	attr	0.0542
שן	attr	0.0542
אם	attr	0.0559
עמדה	attr	0.0559
שיחה	attr	0.0559
כוח	attr	0.0595
הגדרה	attr	0.0598
החלפה	attr	0.0598
כישלון	attr	0.0598
תוקף	attr	0.0598
הכנסה	attr	0.0625
הלוויה	attr	0.069
משקל	attr	0.069
לשון	attr	0.0713
גדולה	attr	0.0727
דמיון	attr	0.0727
חפץ	attr	0.0727
כיתה	attr	0.0727
מארח	attr	0.0727
עובי	attr	0.0727
פריסה	attr	0.0727
בקשה	attr	0.0781
חוב	attr	0.0781
רעיון	attr	0.0818
ניסיון	attr	0.0823
אמונה	attr	0.0836
הנהגה	attr	0.0836
העברה	attr	0.0836
מקצוע	attr	0.0836
מכונית	attr	0.0847
גירוש	attr	0.0928
הדחה	attr	0.0928
חתימה	attr	0.0928
מאזן	attr	0.0928
מרקם	attr	0.0928
סיסמה	attr	0.0928
ניהול	attr	0.0929
השקפה	attr	0.0967
לימודים	attr	0.0967
אדמה	attr	0.109
גיל	attr	0.109
טעות	attr	0.111
עדות	attr	0.111
עצמאות	attr	0.111
אשמה	attr	0.114
חומרה	attr	0.114
יוצר	attr	0.114
קצה	attr	0.114
תחזית	attr	0.114
זמן	attr	0.119
השפעה	attr	0.12
זיכרון	attr	0.12
רשימה	attr	0.12
גוף	attr	0.123
משנה	attr	0.125
עמוד	attr	0.125
הצעה	attr	0.127
סגן	attr	0.131
הזמנה	attr	0.137
זעם	attr	0.137
לוויה	attr	0.137
מוח	attr	0.137
מחדל	attr	0.137
מעורבות	attr	0.137
קליעה	attr	0.137
רכוש	attr	0.137
שמחה	attr	0.137
הכרה	attr	0.141
סיכוי	attr	0.141
סוג	attr	0.142
יעד	attr	0.156
השתתפות	attr	0.16
מרכיב	attr	0.16
נאום	attr	0.16
נטייה	attr	0.16
שולחן	attr	0.16
אחריות	attr	0.173
מולדת	attr	0.173
משימה	attr	0.173
אמירה	attr	0.184
בירה	attr	0.184
גרסה	attr	0.184
תבוסה	attr	0.184
הקמה	attr	0.186
ישיבה	attr	0.186
חינוך	attr	0.19
עם	attr	0.193
צעד	attr	0.197
יתרון	attr	0.204
מספר	attr	0.204
כוכב	attr	0.207
מנייה	attr	0.207
אקדח	attr	0.209
יישום	attr	0.209
מטה	attr	0.211
הודעה	attr	0.218
דור	attr	0.234
הצהרה	attr	0.234
חיזוק	attr	0.234
כתבה	attr	0.234
מגרש	attr	0.235
מהלך	attr	0.244
גידול	attr	0.259
הפעלה	attr	0.259
חופשה	attr	0.259
נקמה	attr	0.259
עוזר	attr	0.259
פרקליט	attr	0.259
בסיס	attr	0.275
מכתב	attr	0.275
רוח	attr	0.275
עצה	attr	0.284
רגש	attr	0.304
כתב	attr	0.307
משמעות	attr	0.309
שיר	attr	0.309
שנאה	attr	0.309
עולם	attr	0.31
סמכות	attr	0.323
עבודה	attr	0.333
שליטה	attr	0.333
ילד	attr	0.34
חידוש	attr	0.358
כבוד	attr	0.358
מסקנה	attr	0.358
סיכום	attr	0.358
בת	attr	0.369
הכנה	attr	0.382
כהונה	attr	0.382
סגנון	attr	0.382
סיום	attr	0.391
תביעה	attr	0.397
חשבון	attr	0.409
הורה	attr	0.42
היקף	attr	0.42
עונש	attr	0.42
שפה	attr	0.42
בית	attr	0.445
ארץ	attr	0.458
לחץ	attr	0.466
הפסד	attr	0.476
מפלגה	attr	0.501
מנהיג	attr	0.511
פעולה	attr	0.524
סרט	attr	0.577
מעשה	attr	0.622
רמה	attr	0.645
אולם	attr	0.646
יסוד	attr	0.646
פיקוד	attr	0.646
