expression	rel	p-value (log[10])
סוף של דבר	attr	31.6219791332571
חודש של שנה	attr	8.22561777713752
קנקן של יין	attr	7.62376269002738
מוות של סאלם	attr	7.07948974145907
מנהל של קרן	attr	6.47845523934892
חשבון של חברה	attr	6.30256936903218
ארגון של רשות	attr	6.10312884353803
מנגנון של תקשורת	attr	6.10312884353803
אחוז של שומן	attr	5.62600758881845
אלמנט של בחירה	attr	5.62600758881845
אפשרות של חיים	attr	5.62600758881845
הכנסה של מומחה	attr	5.62600758881845
רכז של פרויקט	attr	5.62600758881837
מזכירה של קיבוץ	attr	5.32497759315439
מסגרת של אולפן	attr	5.32497759315439
שילוב של סנדוויץ	attr	5.32497759315439
בעלות של איש	attr	4.92703758448235
מוח של איש	attr	4.92703758448235
מעשה של יום	attr	4.92703758448235
דשא של קיבוץ	attr	4.84822045036781
התלהבות של קיבוץ	attr	4.84822045036781
מנייה של חברה	attr	4.84822045036781
צד של רחוב	attr	4.62655387125837
אגף של חברה	attr	4.54755470019592
פרויקט של בית	attr	4.54682634277075
בחירות של שבוע	attr	4.44991632976317
בעיה של עולם	attr	4.44991632976317
מקרה של כיבוש	attr	4.44991632976317
מוות של אדם	attr	4.17994281036849
מנהל של כתר	attr	4.17994281036849
עלייה של יום	attr	4.15034358350832
יום של מערכת	attr	4.14408745121741
עתיד של קיבוץ	attr	4.00458019448203
מדען של משרד	attr	3.96958993516782
מטה של שר	attr	3.78364267821387
החלטה של בית	attr	3.77122668347339
פעילות של ארגון	attr	3.28905546303521
מערכת של משרד	attr	2.97780221730859
עמדה של משרד	attr	2.97780221730859
